Generations,Fitness,Evaluations
4,39.28677725758755,459
4,55.47608067345709,459
4,52.62004978482071,459
4,43.1605428359166,459
4,61.85201520150551,459
4,33.03696523693169,459
4,74.73401490144708,459
4,25.184591660117412,459
4,80.4344909768372,459
4,37.975952189428845,459
5,39.070601370838084,549
5,40.444945036654666,549
5,49.747706957961455,549
5,28.681526624995122,549
5,38.48684890327273,549
5,50.29662745683194,549
5,32.162415789347335,549
5,43.82476119080364,549
5,32.59505066381182,549
5,37.59785431223019,549
5,21.99185414947224,549
5,42.70155596186779,549
5,33.03696523693169,549
5,33.756885153263916,549
5,36.88292271119201,549
5,32.57045233525574,549
5,21.99185414947224,549
5,33.03696523693169,549
5,33.03696523693169,549
5,33.03696523693169,549
5,51.2883491993783,549
5,44.756463922814575,549
5,33.627613933325485,549
5,37.21240006185634,549
5,33.73683989431774,549
5,42.814118660771896,549
5,29.05261445024145,549
5,58.06763713947915,549
5,50.53293311824076,549
5,45.621402137823814,549
5,41.80428601409925,549
5,42.52060145383443,549
5,26.852348483665253,549
5,42.98929151775479,549
5,39.80528527778417,549
5,34.16465674774446,549
5,40.87527543642813,549
5,33.27883813557969,549
5,46.26489890771548,549
5,44.50174156056395,549
5,36.27137092561663,549
5,34.770196481467245,549
5,48.8483606968302,549
5,43.439902723861024,549
5,44.04871097327277,549
5,38.57496172248233,549
5,30.20987710846148,549
5,41.387740219660905,549
5,35.17362582494679,549
5,39.07801586953393,549
5,54.99952124613052,549
5,39.699470333911904,549
5,36.51664462206038,549
5,23.03390773337575,549
5,54.84000133711829,549
5,38.799755030975156,549
5,27.11118559329681,549
5,50.43450892844665,549
5,31.82672930081919,549
5,38.09661470872898,549
5,41.844416113643675,549
5,38.902735096985865,549
5,24.967800917245825,549
5,38.238729689775454,549
5,47.63400409763507,549
5,50.10721969578278,549
5,70.64036963714854,549
5,30.701455943653677,549
5,38.11966082338708,549
5,34.004598706979735,549
5,34.29794505151252,549
5,21.99185414947224,549
5,34.267718615189345,549
