Generations,Best Solution,Evaluations,Best Fitness,Media,Desvio Padrao
60,"[-0.010041251334955814, 0.01916467243350417, 0.02719210107669434, 0.01803288928939517, 0.025720160763374578, 0.017005676464538988, 0.003508362768281259, 0.0410816124662704, -0.029632841892530237, 1.0090543713647369]",14574,"(2.03533669347609,)",3.2708474419192983,3.712774734974282
61,"[-0.010041251334955814, 0.01916467243350417, 0.02719210107669434, 0.01803288928939517, 0.025720160763374578, 0.017005676464538988, 0.003508362768281259, 0.0410816124662704, -0.029632841892530237, 1.0090543713647369]",14660,"(2.03533669347609,)",3.2473111830215475,7.38518777509244
62,"[-0.010041251334955814, 0.01916467243350417, 0.02719210107669434, 0.01803288928939517, 0.025720160763374578, 0.017005676464538988, 0.003508362768281259, 0.0410816124662704, -0.029632841892530237, 1.0090543713647369]",14752,"(2.03533669347609,)",2.7133558654513648,4.776771249623736
63,"[-0.010041251334955814, 0.01916467243350417, 0.02719210107669434, 0.01803288928939517, 0.025720160763374578, 0.017005676464538988, 0.003508362768281259, 0.0410816124662704, -0.029632841892530237, 1.0090543713647369]",14846,"(2.03533669347609,)",2.674583187367082,3.766527462141363
64,"[-0.010041251334955814, 0.01916467243350417, 0.02719210107669434, 0.01803288928939517, 0.025720160763374578, 0.017005676464538988, 0.003508362768281259, 0.0410816124662704, -0.029632841892530237, 1.0090543713647369]",14933,"(2.03533669347609,)",2.0627930910353607,0.27318770639678974
65,"[-0.010041251334955814, 0.01916467243350417, 0.02719210107669434, 0.01803288928939517, 0.025720160763374578, 0.017005676464538988, 0.003508362768281259, 0.0410816124662704, -0.029632841892530237, 1.0090543713647369]",15029,"(2.03533669347609,)",2.13651905071708,0.8816522840778545
66,"[-0.010041251334955814, 0.01916467243350417, 0.02719210107669434, 0.01803288928939517, 0.025720160763374578, 0.017005676464538988, 0.003508362768281259, 0.0410816124662704, -0.029632841892530237, 1.0090543713647369]",15118,"(2.03533669347609,)",2.5694371417936592,3.041977565646572
67,"[-0.010041251334955814, 0.01916467243350417, 0.02719210107669434, 0.01803288928939517, 0.025720160763374578, 0.017005676464538988, 0.003508362768281259, 0.0410816124662704, -0.029632841892530237, 1.0090543713647369]",15209,"(2.03533669347609,)",2.358672353595789,2.29971464122577
68,"[-0.010041251334955814, 0.01916467243350417, 0.02719210107669434, 0.01803288928939517, 0.025720160763374578, 0.017005676464538988, 0.003508362768281259, 0.0410816124662704, -0.029632841892530237, 1.0090543713647369]",15295,"(2.03533669347609,)",3.394881832661807,6.288070982718931
69,"[-0.010041251334955814, 0.01916467243350417, 0.02719210107669434, 0.01803288928939517, 0.025720160763374578, 0.017005676464538988, 0.003508362768281259, 0.0410816124662704, -0.029632841892530237, 1.0090543713647369]",15391,"(2.03533669347609,)",2.960205720755796,5.039061914398498
